Date,Sleep Hours,Mood (1-5),Productivity (1-5),Social Media (min),Work Apps (min),Entertainment (min),Total Screen Time (min),Day,Month,Weekend
2024-06-01,7.8,3.1,4.2,134,176,120,431,Saturday,June,True
2024-06-02,6.5,2.3,2.4,32,90,144,267,Sunday,June,True
2024-06-03,7.5,2.4,3.5,91,237,135,464,Monday,June,False
2024-06-04,6.5,2.6,2.4,143,198,108,450,Tuesday,June,False
2024-06-05,5.8,2.2,2.3,177,201,174,553,Wednesday,June,False
2024-06-06,8.1,1.5,4.2,48,318,173,540,Thursday,June,False
2024-06-07,5.6,1.7,1.5,87,173,134,395,Friday,June,False
2024-06-08,8.3,4.1,4.4,88,214,128,431,Saturday,June,True
2024-06-09,8.7,4.7,2.3,118,269,116,504,Sunday,June,True
2024-06-10,7.6,4.7,3.4,117,262,126,506,Monday,June,False
2024-06-11,7.4,3.0,5.0,0,314,219,533,Tuesday,June,False
2024-06-12,6.2,2.3,3.8,74,316,111,502,Wednesday,June,False
2024-06-13,8.1,3.1,4.5,19,146,150,316,Thursday,June,False
2024-06-14,5.9,3.6,2.1,66,248,113,428,Friday,June,False
2024-06-15,7.2,1.4,2.2,28,245,204,478,Saturday,June,True
2024-06-16,7.8,3.0,2.9,69,359,159,588,Sunday,June,True
2024-06-17,5.6,1.9,2.5,148,332,88,569,Monday,June,False
2024-06-18,6.6,3.8,4.7,76,268,157,502,Tuesday,June,False
2024-06-19,7.8,2.3,4.1,20,185,102,308,Wednesday,June,False
2024-06-20,9.4,4.1,3.5,60,273,162,496,Thursday,June,False
2024-06-21,5.5,3.7,3.9,0,252,144,396,Friday,June,False
2024-06-22,8.0,4.4,1.8,140,310,147,599,Saturday,June,True
2024-06-23,7.2,2.7,2.8,4,144,187,337,Sunday,June,True
2024-06-24,6.9,2.2,2.3,56,252,158,466,Monday,June,False
2024-06-25,8.8,2.2,4.8,95,462,138,696,Tuesday,June,False
2024-06-26,5.1,2.2,2.8,107,254,44,406,Wednesday,June,False
2024-06-27,6.2,1.2,2.4,109,278,71,458,Thursday,June,False
2024-06-28,6.1,2.9,2.9,0,240,210,451,Friday,June,False
2024-06-29,7.8,3.8,4.0,246,319,162,728,Saturday,June,True
2024-06-30,7.3,2.7,5.0,34,272,150,458,Sunday,June,True
2024-07-01,6.1,2.4,4.4,72,304,118,496,Monday,July,False
2024-07-02,10.0,5.0,5.0,64,262,118,445,Tuesday,July,False
2024-07-03,6.2,2.6,3.4,130,187,116,434,Wednesday,July,False
2024-07-04,6.8,2.7,3.4,144,157,127,429,Thursday,July,False
2024-07-05,7.7,4.0,2.6,96,200,62,358,Friday,July,False
2024-07-06,9.2,2.2,3.6,71,225,186,482,Saturday,July,True
2024-07-07,9.5,4.2,4.8,26,273,187,486,Sunday,July,True
2024-07-08,6.0,2.9,3.3,72,301,183,558,Monday,July,False
2024-07-09,7.5,2.5,3.2,44,239,130,414,Tuesday,July,False
2024-07-10,8.3,3.7,4.5,106,298,112,517,Wednesday,July,False
2024-07-11,7.2,3.2,4.6,18,346,108,472,Thursday,July,False
2024-07-12,6.4,1.5,2.6,220,190,129,541,Friday,July,False
2024-07-13,7.7,3.1,3.3,188,113,106,409,Saturday,July,True
2024-07-14,5.5,2.8,4.4,88,356,134,578,Sunday,July,True
2024-07-15,6.7,3.1,3.6,78,153,60,293,Monday,July,False
2024-07-16,6.4,4.2,1.0,170,176,83,431,Tuesday,July,False
2024-07-17,8.9,1.7,4.8,92,305,195,593,Wednesday,July,False
2024-07-18,7.3,2.2,4.7,50,150,131,333,Thursday,July,False
2024-07-19,7.5,3.2,3.5,21,402,130,555,Friday,July,False
2024-07-20,6.1,4.3,3.2,60,212,178,451,Saturday,July,True
2024-07-21,6.0,2.2,1.6,196,172,73,443,Sunday,July,True
2024-07-22,4.9,2.7,1.7,135,107,199,442,Monday,July,False
2024-07-23,7.1,2.7,3.5,11,285,141,438,Tuesday,July,False
2024-07-24,7.6,5.0,3.8,64,248,101,413,Wednesday,July,False
2024-07-25,6.2,1.8,3.2,69,235,73,377,Thursday,July,False
2024-07-26,8.6,3.5,5.0,122,262,229,614,Friday,July,False
2024-07-27,8.0,4.7,2.6,118,151,200,470,Saturday,July,True
2024-07-28,7.5,2.7,1.4,171,255,114,541,Sunday,July,True
2024-07-29,7.0,4.4,3.7,80,280,142,503,Monday,July,False
2024-07-30,7.7,1.8,4.0,0,167,163,330,Tuesday,July,False
2024-07-31,5.9,3.2,3.5,26,177,139,343,Wednesday,July,False
2024-08-01,6.6,3.9,2.8,49,67,174,291,Thursday,August,False
2024-08-02,7.3,1.0,3.2,99,208,117,425,Friday,August,False
2024-08-03,6.7,1.9,3.3,57,331,104,492,Saturday,August,True
2024-08-04,5.4,3.9,4.2,28,333,115,477,Sunday,August,True
2024-08-05,7.8,3.9,2.4,4,175,108,287,Monday,August,False
2024-08-06,6.4,1.6,1.0,97,181,84,363,Tuesday,August,False
2024-08-07,9.7,5.0,2.3,139,204,197,541,Wednesday,August,False
2024-08-08,7.8,3.0,3.3,0,290,146,437,Thursday,August,False
2024-08-09,7.5,3.4,2.7,75,260,141,477,Friday,August,False
2024-08-10,8.7,3.4,3.0,93,225,105,424,Saturday,August,True
2024-08-11,5.8,2.9,5.0,0,193,105,299,Sunday,August,True
2024-08-12,5.5,2.8,2.0,107,284,178,570,Monday,August,False
2024-08-13,8.7,4.0,3.3,159,285,124,570,Tuesday,August,False
2024-08-14,7.8,3.9,4.0,86,263,60,411,Wednesday,August,False
2024-08-15,8.2,1.7,3.2,167,231,150,549,Thursday,August,False
2024-08-16,7.2,4.7,3.6,80,330,159,569,Friday,August,False
2024-08-17,5.4,3.7,2.9,55,287,144,488,Saturday,August,True
2024-08-18,8.4,4.1,3.4,20,315,146,483,Sunday,August,True
2024-08-19,4.5,2.9,3.3,13,172,221,406,Monday,August,False
2024-08-20,8.4,4.4,5.0,95,218,74,388,Tuesday,August,False
2024-08-21,7.1,3.4,2.8,7,287,151,445,Wednesday,August,False
2024-08-22,10.0,4.0,4.5,58,247,168,474,Thursday,August,False
2024-08-23,6.5,4.2,2.4,67,212,188,467,Friday,August,False
2024-08-24,5.3,3.9,1.7,149,138,66,355,Saturday,August,True
2024-08-25,5.3,1.0,2.7,142,271,23,438,Sunday,August,True
2024-08-26,6.3,3.7,2.2,74,252,143,470,Monday,August,False
2024-08-27,6.2,2.6,2.9,53,127,37,219,Tuesday,August,False
2024-08-28,6.7,1.0,1.6,146,112,154,413,Wednesday,August,False
2024-08-29,10.0,5.0,3.8,0,260,129,390,Thursday,August,False
2024-08-30,6.2,3.7,2.9,120,281,103,506,Friday,August,False
2024-08-31,8.7,1.3,3.1,22,303,40,366,Saturday,August,True
2024-09-01,9.3,4.1,5.0,48,205,92,346,Sunday,September,True
2024-09-02,7.6,1.9,4.4,62,220,57,340,Monday,September,False
2024-09-03,6.8,2.8,2.6,125,95,97,318,Tuesday,September,False
2024-09-04,6.8,3.2,3.4,62,273,168,504,Wednesday,September,False
2024-09-05,6.5,2.4,1.7,90,221,92,405,Thursday,September,False
2024-09-06,7.0,2.3,5.0,66,363,162,591,Friday,September,False
2024-09-07,8.6,3.7,5.0,37,325,102,465,Saturday,September,True
2024-09-08,7.4,2.4,2.7,24,285,96,406,Sunday,September,True
2024-09-09,7.8,3.4,4.0,45,183,144,373,Monday,September,False
2024-09-10,7.9,1.8,3.6,51,261,105,418,Tuesday,September,False
2024-09-11,5.9,1.0,3.5,133,307,104,545,Wednesday,September,False
2024-09-12,5.6,2.4,3.7,46,282,145,474,Thursday,September,False
2024-09-13,6.7,3.5,1.6,89,245,123,458,Friday,September,False
2024-09-14,7.6,2.6,3.2,92,324,25,442,Saturday,September,True
2024-09-15,7.3,2.6,2.9,65,137,169,372,Sunday,September,True
2024-09-16,7.0,2.6,4.6,53,297,147,498,Monday,September,False
2024-09-17,6.9,4.0,3.4,95,263,145,504,Tuesday,September,False
2024-09-18,7.2,2.5,1.7,146,166,87,400,Wednesday,September,False
2024-09-19,6.2,3.6,2.6,44,298,217,559,Thursday,September,False
2024-09-20,4.9,1.2,1.0,162,255,118,535,Friday,September,False
2024-09-21,8.2,3.6,3.5,35,309,130,475,Saturday,September,True
2024-09-22,6.4,2.3,2.3,31,222,162,417,Sunday,September,True
2024-09-23,8.9,3.0,3.1,95,226,47,369,Monday,September,False
2024-09-24,4.5,1.4,1.0,0,214,85,300,Tuesday,September,False
2024-09-25,7.0,2.2,1.8,33,172,138,345,Wednesday,September,False
2024-09-26,6.6,3.1,3.0,129,333,153,616,Thursday,September,False
2024-09-27,8.0,5.0,4.2,29,358,183,571,Friday,September,False
2024-09-28,8.2,3.9,4.7,97,283,146,527,Saturday,September,True
2024-09-29,7.0,3.1,4.4,17,230,190,438,Sunday,September,True
2024-09-30,8.0,1.4,3.3,23,216,63,303,Monday,September,False
2024-10-01,7.8,3.3,4.7,0,243,136,380,Tuesday,October,False
2024-10-02,7.8,2.6,3.3,144,375,77,598,Wednesday,October,False
2024-10-03,7.0,1.0,3.9,104,304,112,521,Thursday,October,False
2024-10-04,5.7,2.4,3.3,135,252,92,480,Friday,October,False
2024-10-05,7.7,3.5,3.1,170,272,100,543,Saturday,October,True
2024-10-06,5.7,4.1,2.6,108,267,108,483,Sunday,October,True
2024-10-07,7.9,3.7,4.2,129,266,82,478,Monday,October,False
2024-10-08,6.4,4.6,2.9,2,161,168,332,Tuesday,October,False
2024-10-09,7.1,1.9,2.3,174,284,76,535,Wednesday,October,False
2024-10-10,8.3,4.2,3.4,94,297,134,527,Thursday,October,False
2024-10-11,7.5,1.1,3.2,44,268,52,365,Friday,October,False
2024-10-12,8.3,3.9,3.8,59,392,194,646,Saturday,October,True
2024-10-13,9.4,4.1,4.6,71,271,217,560,Sunday,October,True
2024-10-14,7.3,4.0,3.1,104,229,78,412,Monday,October,False
2024-10-15,6.0,2.2,3.4,139,355,130,624,Tuesday,October,False
2024-10-16,7.8,1.2,2.7,99,202,39,342,Wednesday,October,False
2024-10-17,6.9,1.3,3.6,88,313,132,534,Thursday,October,False
2024-10-18,10.0,4.2,5.0,90,384,168,642,Friday,October,False
2024-10-19,8.0,1.7,5.0,91,294,119,505,Saturday,October,True
2024-10-20,5.5,4.0,1.0,129,232,141,502,Sunday,October,True
2024-10-21,9.1,5.0,3.4,68,282,70,420,Monday,October,False
2024-10-22,6.6,3.2,3.0,76,83,141,301,Tuesday,October,False
2024-10-23,7.0,1.9,3.8,94,200,70,365,Wednesday,October,False
2024-10-24,8.2,4.6,4.9,55,354,168,578,Thursday,October,False
2024-10-25,6.6,2.9,1.8,127,238,32,398,Friday,October,False
2024-10-26,6.1,4.3,4.8,41,289,175,506,Saturday,October,True
2024-10-27,4.7,2.6,1.0,123,154,128,406,Sunday,October,True
2024-10-28,6.5,4.8,2.8,90,258,213,562,Monday,October,False
2024-10-29,7.4,3.3,3.0,82,254,162,500,Tuesday,October,False
2024-10-30,5.9,4.3,2.0,100,240,173,514,Wednesday,October,False
2024-10-31,6.8,3.1,2.5,70,256,141,468,Thursday,October,False
2024-11-01,6.8,3.7,2.8,143,189,61,394,Friday,November,False
2024-11-02,8.2,1.2,4.7,153,280,79,514,Saturday,November,True
2024-11-03,8.5,5.0,1.6,61,92,239,392,Sunday,November,True
2024-11-04,5.8,1.1,4.2,0,298,38,337,Monday,November,False
2024-11-05,6.9,3.4,3.0,103,174,144,422,Tuesday,November,False
